agent_ID,parameters_ID,stockout,CV,order_cost,mean_gap,time
1,1,10.0,0.4,80,0.01930002052233709,17.349543631076813
2,1,10.0,0.4,80,0.015049547652169381,17.686408746242524
3,1,10.0,0.4,80,0.012177710157702559,17.65162738164266
4,1,10.0,0.4,80,0.030112445729128284,17.679143087069193
5,1,10.0,0.4,80,1.4833485008654392,17.008364701271056
6,1,10.0,0.4,80,0.024570579472046924,17.259216233094534
7,1,10.0,0.4,80,0.020229045208705936,17.24532393217087
8,1,10.0,0.4,80,0.023746353537869337,17.06853041648865
9,1,10.0,0.4,80,0.009631766663661155,17.28031173547109
10,1,10.0,0.4,80,0.012776778832471873,17.28393361568451
11,1,10.0,0.4,80,0.023983962709669716,17.354008464018502
12,1,10.0,0.4,80,0.013323250306610183,17.289596931139627
13,1,10.0,0.4,80,0.023761400006738972,17.791956532001496
14,1,10.0,0.4,80,0.011642057564319028,17.73309204975764
15,1,10.0,0.4,80,0.01920506120235394,17.773399118582407
16,1,10.0,0.4,80,0.026652563773430286,17.316764350732168
17,1,10.0,0.4,80,0.0096039403715433,17.290576934814453
18,1,10.0,0.4,80,0.00854187735823839,17.264788432916006
19,1,10.0,0.4,80,0.021318109072614586,17.289802102247872
20,1,10.0,0.4,80,0.015251311208422573,17.271699432531992
21,2,25.0,0.4,80,0.018297482735441625,17.42893560330073
22,2,25.0,0.4,80,0.011707049166326915,17.59466404914856
23,2,25.0,0.4,80,0.0898642886227587,17.268936268488567
24,2,25.0,0.4,80,0.05746823402739133,17.348505063851675
25,2,25.0,0.4,80,0.016080482428258328,17.750491535663606
26,2,25.0,0.4,80,0.035959157048616394,17.602505815029144
27,2,25.0,0.4,80,0.04992874670728361,17.323491915067038
28,2,25.0,0.4,80,0.0942787161106115,17.381755765279134
29,2,25.0,0.4,80,0.03833196462043907,17.64162786801656
30,2,25.0,0.4,80,0.0359103234419039,17.28042946656545
31,2,25.0,0.4,80,0.03284624190321606,17.268116664886474
32,2,25.0,0.4,80,0.054485872966050446,17.269121817747752
33,2,25.0,0.4,80,0.028387404400075426,17.294191416104635
34,2,25.0,0.4,80,0.016596950551418865,17.285216915607453
35,2,25.0,0.4,80,0.027463314928050677,17.293729150295256
36,2,25.0,0.4,80,4.848953408733865,17.143686616420744
37,2,25.0,0.4,80,0.014643643686368009,17.42694548368454
38,2,25.0,0.4,80,0.03766351188442055,17.63738804658254
39,2,25.0,0.4,80,0.027562136008576193,17.610502167542776
40,2,25.0,0.4,80,0.012831114174608348,17.278467202186583
41,3,50.0,0.4,80,0.039383337682352734,17.361064930756886
42,3,50.0,0.4,80,0.03122454014710123,17.277781065305074
43,3,50.0,0.4,80,0.03969138140555361,17.287620266278584
44,3,50.0,0.4,80,0.021222645476972262,17.256792716185252
45,3,50.0,0.4,80,0.019713753549764675,17.561533065636954
46,3,50.0,0.4,80,0.042733270315653014,17.275714798768362
47,3,50.0,0.4,80,0.5228282496415173,17.194284800688425
48,3,50.0,0.4,80,0.030042704575197077,17.265366435050964
49,3,50.0,0.4,80,0.039046255136800476,17.265304934978484
50,3,50.0,0.4,80,0.015344104135083142,17.288724184036255
51,3,50.0,0.4,80,0.04456168946976702,17.275249314308166
52,3,50.0,0.4,80,0.01907166054260321,17.405062369505565
53,3,50.0,0.4,80,0.049095352780273986,17.43538949886958
54,3,50.0,0.4,80,0.020538241251354183,17.291932984193167
55,3,50.0,0.4,80,0.047959003541966604,17.412970968087514
56,3,50.0,0.4,80,10.295267695360009,17.146871717770896
57,3,50.0,0.4,80,10.292558428149276,17.009249901771547
58,3,50.0,0.4,80,0.023973564028892103,17.58804834683736
59,3,50.0,0.4,80,0.031647794475773025,17.671848567326865
60,3,50.0,0.4,80,0.10204798924893892,17.382855983575187
61,4,100.0,0.4,80,0.027959840488408487,17.297312382857005
62,4,100.0,0.4,80,0.026009584701425437,17.828090047836305
63,4,100.0,0.4,80,0.03147696903119737,17.608071863651276
64,4,100.0,0.4,80,0.03294593062599293,17.677837534745535
65,4,100.0,0.4,80,0.06748491322614993,17.617943465709686
66,4,100.0,0.4,80,0.012917344908502309,17.41356371641159
67,4,100.0,0.4,80,0.10183603755118588,17.257956751187642
68,4,100.0,0.4,80,0.02807953685614426,17.261031635602315
69,4,100.0,0.4,80,0.08114295800176258,17.239168616135917
70,4,100.0,0.4,80,0.0469403804660894,17.735779333114625
71,4,100.0,0.4,80,0.05988194106568006,17.278272914886475
72,4,100.0,0.4,80,0.03161376427016192,17.267867914835612
73,4,100.0,0.4,80,0.027513925380170497,17.5970898826917
74,4,100.0,0.4,80,0.027782728145234775,17.62104323307673
75,4,100.0,0.4,80,0.03183609671172401,17.38292728662491
76,4,100.0,0.4,80,0.02372486031183869,17.310934150218962
77,4,100.0,0.4,80,0.028298538038742327,17.59398649930954
78,4,100.0,0.4,80,0.017832350598709634,17.390977017084758
79,4,100.0,0.4,80,0.0966555524888164,17.67029951810837
80,4,100.0,0.4,80,0.09637417945595671,17.2762403011322
81,5,10.0,0.4,360,0.017796187169888608,17.257743247350056
82,5,10.0,0.4,360,0.018197626134612517,17.38205095132192
83,5,10.0,0.4,360,0.004437678192696904,17.33771645228068
84,5,10.0,0.4,360,0.030597841784472047,17.26381543080012
85,5,10.0,0.4,360,0.009401502358586023,17.25714679956436
86,5,10.0,0.4,360,0.026495386870662066,17.259350283940634
87,5,10.0,0.4,360,0.027452198954010052,17.25888599952062
88,5,10.0,0.4,360,0.010970591539870051,17.277210080623625
89,5,10.0,0.4,360,0.02389254148016527,17.259911314646402
90,5,10.0,0.4,360,0.013451414755417642,17.429026834170024
91,5,10.0,0.4,360,0.021195462505041427,17.28460258245468
92,5,10.0,0.4,360,0.012346579979293702,17.271249532699585
93,5,10.0,0.4,360,0.011015922546156258,17.306515649954477
94,5,10.0,0.4,360,0.014779700940279555,17.288433782259624
95,5,10.0,0.4,360,0.013361880387235714,17.762983099619547
96,5,10.0,0.4,360,0.009064149953328928,17.32041228612264
97,5,10.0,0.4,360,0.020006869871066278,17.268686950206757
98,5,10.0,0.4,360,0.014472767283709243,17.264634199937184
99,5,10.0,0.4,360,0.01309449670963479,17.276869797706603
100,5,10.0,0.4,360,0.0043175743653227254,17.277042631308237
101,6,25.0,0.4,360,0.020573654650824207,17.441580017407734
102,6,25.0,0.4,360,0.010834278072509597,17.546282267570497
103,6,25.0,0.4,360,0.01056676794012665,17.282124066352843
104,6,25.0,0.4,360,0.008826645135917695,17.281216152509053
105,6,25.0,0.4,360,0.03780922442222474,17.804148264726003
106,6,25.0,0.4,360,0.021589157405440238,17.630297601222992
107,6,25.0,0.4,360,0.030191544299448182,17.643728049596152
108,6,25.0,0.4,360,0.01413494128576232,17.659688067436218
109,6,25.0,0.4,360,0.025611643443413944,17.62474306821823
110,6,25.0,0.4,360,0.013195350694598457,17.64253126780192
111,6,25.0,0.4,360,0.03861465227070462,17.617538384596507
112,6,25.0,0.4,360,0.010381747136556742,17.256044216950734
113,6,25.0,0.4,360,0.029095260666003608,17.298865751425424
114,6,25.0,0.4,360,0.029718299617621437,17.285490250587465
115,6,25.0,0.4,360,0.012043144655557577,17.830595950285595
116,6,25.0,0.4,360,0.024438369939632335,17.27878028154373
117,6,25.0,0.4,360,0.012790361647543087,17.29684663216273
118,6,25.0,0.4,360,0.021535118840989007,17.827362302939097
119,6,25.0,0.4,360,0.018879969201084246,17.31814176638921
120,6,25.0,0.4,360,0.03275746701536687,17.288336050510406
121,7,50.0,0.4,360,0.03501959719923434,17.699667302767434
122,7,50.0,0.4,360,0.011802678612876896,17.28112798134486
123,7,50.0,0.4,360,0.019137250522243923,17.59112958510717
124,7,50.0,0.4,360,0.020147689068584575,17.530094667275748
125,7,50.0,0.4,360,0.015585719465536432,17.473587981859843
126,7,50.0,0.4,360,0.02934172371429157,17.278185784816742
127,7,50.0,0.4,360,0.01064551108213429,17.274238097667695
128,7,50.0,0.4,360,0.011560439476542712,17.798437198003132
129,7,50.0,0.4,360,0.011637653369609023,17.698264984289803
130,7,50.0,0.4,360,0.02358338389115847,17.270476015408835
131,7,50.0,0.4,360,0.007086468042201022,17.270609815915424
132,7,50.0,0.4,360,0.015269149815920492,17.285420966148376
133,7,50.0,0.4,360,0.013414948196582559,17.65109479824702
134,7,50.0,0.4,360,0.0265254716640098,17.607927370071412
135,7,50.0,0.4,360,0.020395013521555296,17.265864431858063
136,7,50.0,0.4,360,0.013499480120399268,17.284831750392915
137,7,50.0,0.4,360,0.007579946883018051,17.632440416018166
138,7,50.0,0.4,360,0.06853070755477,17.631278884410857
139,7,50.0,0.4,360,0.015175391856831555,17.598632566134135
140,7,50.0,0.4,360,0.011301923017715045,17.336007634798687
141,8,100.0,0.4,360,9.855888271416397,17.048652335007986
142,8,100.0,0.4,360,0.010439312062290552,17.350539282957712
143,8,100.0,0.4,360,0.028661210462520716,17.879513669013978
144,8,100.0,0.4,360,0.014998781318091065,17.320501800378164
145,8,100.0,0.4,360,0.019837931366035108,17.860215298334758
146,8,100.0,0.4,360,0.0307314358114241,17.293743133544922
147,8,100.0,0.4,360,0.030759916348182783,17.311351184050242
148,8,100.0,0.4,360,0.011257953914101467,17.317484684785207
149,8,100.0,0.4,360,0.012688856826780334,17.70947228272756
150,8,100.0,0.4,360,0.017290211626925938,17.674440852801006
151,8,100.0,0.4,360,0.06522972455829665,17.95839448372523
152,8,100.0,0.4,360,0.009351041269580602,18.014129118124643
153,8,100.0,0.4,360,0.05846488139719497,17.980160701274873
154,8,100.0,0.4,360,0.01228046113792941,17.950227785110474
155,8,100.0,0.4,360,0.020459290422387935,17.71080636580785
156,8,100.0,0.4,360,0.049271416775893855,17.556603368123373
157,8,100.0,0.4,360,0.011290996131545454,17.6154154976209
158,8,100.0,0.4,360,0.030076618595130993,17.728079199790955
159,8,100.0,0.4,360,0.02890955244737681,17.724564965566
160,8,100.0,0.4,360,0.009317453623302442,17.60962906678518
161,9,10.0,0.4,1280,-3.2943997900939385e-5,17.346145232518513
162,9,10.0,0.4,1280,7.116865902616354e-5,17.363464800516763
163,9,10.0,0.4,1280,-2.0511751623360387e-5,17.39342540105184
164,9,10.0,0.4,1280,-9.294677111315663e-5,17.4582391500473
165,9,10.0,0.4,1280,0.00012832998197172718,17.417721899350486
166,9,10.0,0.4,1280,6.91877468286195e-5,17.417329700787864
167,9,10.0,0.4,1280,6.790365051659197e-6,17.346400368213654
168,9,10.0,0.4,1280,-3.998574946611089e-5,17.345262602965036
169,9,10.0,0.4,1280,3.436073925789751e-5,17.35312408208847
170,9,10.0,0.4,1280,0.00015057233651466406,17.356610318024952
171,9,10.0,0.4,1280,-4.9086703955426805e-5,17.925558400154113
172,9,10.0,0.4,1280,0.00023375089185477416,17.56653691927592
173,9,10.0,0.4,1280,0.00012279205408726558,17.3732528646787
174,9,10.0,0.4,1280,1.8702593145036862e-5,17.378591434160867
175,9,10.0,0.4,1280,8.777487298419917e-5,17.32814041376114
176,9,10.0,0.4,1280,-6.679052566907351e-5,17.366785899798074
177,9,10.0,0.4,1280,-0.00015368446856806295,17.400408283869425
178,9,10.0,0.4,1280,5.63704151884854e-5,17.324299232165018
179,9,10.0,0.4,1280,-4.120956929485331e-7,17.739991585413616
180,9,10.0,0.4,1280,-8.693031970790676e-5,17.33774114847183
181,10,25.0,0.4,1280,0.00741846152108664,17.611986033121745
182,10,25.0,0.4,1280,0.0380047715945937,18.194010150432586
183,10,25.0,0.4,1280,0.022266208194631515,17.63616328239441
184,10,25.0,0.4,1280,0.45968613009143583,17.903404851754505
185,10,25.0,0.4,1280,0.05245973168662491,17.87902166843414
186,10,25.0,0.4,1280,0.03276536682932057,17.577831351757048
187,10,25.0,0.4,1280,0.05996529908761134,17.685535363356273
188,10,25.0,0.4,1280,0.022734468289025207,17.73543183406194
189,10,25.0,0.4,1280,0.05820469887382896,17.734249369303384
190,10,25.0,0.4,1280,0.06602787483782868,17.598424486319225
191,10,25.0,0.4,1280,0.014556070860242009,17.58555068572362
192,10,25.0,0.4,1280,0.015621567238420855,17.585010464986166
193,10,25.0,0.4,1280,0.04312889733454299,17.70070188442866
194,10,25.0,0.4,1280,0.037519046545429126,17.687864935398103
195,10,25.0,0.4,1280,0.02758539311947208,17.600694052378337
196,10,25.0,0.4,1280,0.04423654184813415,17.589103416601816
197,10,25.0,0.4,1280,0.031761728924831145,17.71281096537908
198,10,25.0,0.4,1280,0.03766284713029655,17.586623950799307
199,10,25.0,0.4,1280,0.020149730500496822,17.606208765506743
200,10,25.0,0.4,1280,0.45963555584390914,17.459572950998943
201,11,50.0,0.4,1280,0.032269820685713574,17.613041452566783
202,11,50.0,0.4,1280,0.015456967227683275,17.607941285769144
203,11,50.0,0.4,1280,0.021319996143940444,18.196555519104002
204,11,50.0,0.4,1280,0.018637447715853697,17.617967748641966
205,11,50.0,0.4,1280,0.012855547366868768,17.60011605024338
206,11,50.0,0.4,1280,0.030598583730911753,17.600045867760976
207,11,50.0,0.4,1280,0.013200646477228154,18.186829149723053
208,11,50.0,0.4,1280,0.01654876856026229,17.591776247819265
209,11,50.0,0.4,1280,0.010336168005094274,17.59161253372828
210,11,50.0,0.4,1280,0.019578215605830535,17.738829052448274
211,11,50.0,0.4,1280,0.029258834595764383,17.60816904703776
212,11,50.0,0.4,1280,0.026825583376374685,18.195406866073608
213,11,50.0,0.4,1280,-0.003743765595754234,17.61140256722768
214,11,50.0,0.4,1280,0.017926655717344607,18.204567833741507
215,11,50.0,0.4,1280,0.032621968083132814,18.062729116280874
216,11,50.0,0.4,1280,0.027630054845234245,17.99416699806849
217,11,50.0,0.4,1280,0.042014221204698686,18.047692267100015
218,11,50.0,0.4,1280,0.017485259549316484,18.081813367207847
219,11,50.0,0.4,1280,0.017918664768532534,17.70267165104548
220,11,50.0,0.4,1280,0.021046283325713545,17.630400200684864
221,12,100.0,0.4,1280,0.07302986798084508,17.609023169676462
222,12,100.0,0.4,1280,0.033020730021046156,17.62652658224106
223,12,100.0,0.4,1280,0.019559197380724886,17.606155467033386
224,12,100.0,0.4,1280,0.01961443905452598,17.59986691872279
225,12,100.0,0.4,1280,0.016556648538097855,17.601497133572895
226,12,100.0,0.4,1280,0.006503331712806618,17.92067974805832
227,12,100.0,0.4,1280,0.010426692524186517,17.921921451886494
228,12,100.0,0.4,1280,0.014415101409183511,17.8029945174853
229,12,100.0,0.4,1280,0.0064989936834397195,17.95643721818924
230,12,100.0,0.4,1280,0.03692172507328733,17.991426567236584
231,12,100.0,0.4,1280,0.017331701998106658,17.950390684604645
232,12,100.0,0.4,1280,0.019206010753345056,17.766358800729115
233,12,100.0,0.4,1280,0.0034436868960818663,17.961570914586385
234,12,100.0,0.4,1280,0.01935736728760038,17.651593085130056
235,12,100.0,0.4,1280,0.05906931627146215,17.62854906717936
236,12,100.0,0.4,1280,0.018021265720737305,18.20272767941157
237,12,100.0,0.4,1280,0.027481915812295834,17.613424034913383
238,12,100.0,0.4,1280,0.032013888265383816,17.629247097174325
239,12,100.0,0.4,1280,0.007864436346122551,17.633743166923523
240,12,100.0,0.4,1280,0.018889052105036157,17.86808303197225
